settlement_id,payment_ids,utr,settled_amount,settled_at
setl_55515858,"pay_18106700,pay_28448212,pay_86003449",UTR722228027103,11706.95,2026-09-06T03:28:51
setl_95968730,"pay_97069558,pay_12717210",UTR539357034775,4579.82,2026-09-05T22:52:51
setl_92948229,"pay_66212516,pay_60334335,pay_88729466",UTR891956864868,6298.03,2026-09-06T22:48:51
setl_22675670,"pay_5006416,pay_66663686",UTR881425219547,5424.02,2026-09-06T10:35:51
setl_27908999,"pay_98326530,pay_97745663,pay_8071926",UTR590601479535,5213.82,2026-09-03T08:11:51
setl_31559784,"pay_2818053,pay_21042773,pay_97969068,pay_6555365",UTR257634657028,8314.91,2026-09-06T01:01:51
setl_42229085,"pay_29460721,pay_78347951,pay_70195556,pay_12355012",UTR188113665461,9120.2,2026-09-01T05:13:51
setl_21363429,"pay_17413772,pay_87268161,pay_96483003",UTR136407072924,8583.09,2026-09-02T09:32:51
setl_69585848,"pay_5066982,pay_31262924",UTR378681169136,4914.49,2026-09-07T00:54:51
setl_34523531,"pay_71945180,pay_76634505,pay_89533672",UTR316420079499,5997.52,2026-09-04T09:56:51
setl_48355606,"pay_55167857,pay_25080133",UTR921806208982,2129.65,2026-09-02T17:47:51
setl_11102300,"pay_56690471,pay_48802497,pay_15040331,pay_98912431",UTR43054193287,12351.94,2026-09-05T20:08:51
setl_10851686,"pay_88281240,pay_96337666",UTR154224219365,7540.9400000000005,2026-09-02T19:38:51
setl_33639195,"pay_20528950,pay_46058347,pay_19279017",UTR100834188945,10727.43,2026-09-06T01:57:51
setl_36594119,"pay_29339376,pay_81931222,pay_36410464",UTR264051997097,5770.58,2026-09-04T23:29:51
setl_97383389,"pay_73609125,pay_86957735",UTR617531042923,5980.49,2026-09-06T20:25:51
setl_96942007,"pay_40616608,pay_51542401,pay_85465243,pay_27963282",UTR153225853072,7755.969999999999,2026-09-03T18:52:51
setl_3660712,"pay_56193154,pay_7705974",UTR107096346264,7473.73,2026-09-03T19:50:51
setl_48652001,"pay_83006100,pay_50540869,pay_49899591",UTR323880112013,9759.8,2026-09-01T05:10:51
setl_34323612,"pay_98506405,pay_65637417,pay_23061828,pay_53404065",UTR191422928653,11720.279999999999,2026-09-02T18:56:51
setl_60931482,"pay_40483547,pay_8760847,pay_59576587,pay_92956103",UTR756855438302,4915.78,2026-09-05T19:34:51
setl_34421786,"pay_9265062,pay_60524983,pay_76357874,pay_34213415",UTR281823514891,11594.789999999999,2026-09-04T16:50:51
setl_3959671,"pay_33685576,pay_26083738,pay_74214466",UTR289944784321,5759.22,2026-09-03T07:27:51
setl_63338490,"pay_6487018,pay_7471860",UTR734156609034,4774.91,2026-09-04T10:29:51
setl_3655376,"pay_36897510,pay_67815363",UTR996333086475,8616.69,2026-09-03T09:26:51
setl_39575868,"pay_37663049,pay_48564231",UTR876786855326,6554.799999999999,2026-09-05T18:04:51
setl_32809183,"pay_68105879,pay_5565546",UTR831424451472,3493.52,2026-09-01T18:58:51
setl_81694513,"pay_1584481,pay_28757512",UTR948513605690,8247.79,2026-09-01T22:44:51
setl_53423655,"pay_56381681,pay_47312780,pay_82124384",UTR878774032343,5559.24,2026-08-29T19:25:51
setl_86476880,"pay_53098704,pay_94965709,pay_75857881,pay_64771486",UTR382935031520,8355.1,2026-09-04T16:18:51
setl_7882191,"pay_89636479,pay_54792587,pay_27371722",UTR217378049361,3224.38,2026-09-01T04:13:51
setl_95652621,"pay_92336335,pay_12294436,pay_51860841,pay_63450456",UTR779740249763,11876.859999999999,2026-09-07T00:58:51
setl_31874906,"pay_96494919,pay_63273369,pay_98203818,pay_83526757",UTR838831810093,13622.36,2026-09-07T07:40:51
setl_19202915,"pay_42749286,pay_39057390",UTR743364161579,5823.75,2026-08-29T13:29:51
setl_39858393,"pay_44964357,pay_28470425,pay_64689342,pay_84862072",UTR387021393583,7688.6,2026-09-03T19:36:51
setl_77110275,"pay_4776222,pay_99298157,pay_32923393",UTR430675234689,5245.52,2026-09-03T02:10:51
setl_10829037,"pay_4385150,pay_95716909",UTR262580594588,4286.97,2026-09-06T23:55:51
setl_48612683,"pay_19155785,pay_1437691",UTR606570140988,6469.5599999999995,2026-08-29T16:36:51
setl_99817792,"pay_98997586,pay_14162038,pay_89043693,pay_6101088",UTR852984359125,14648.26,2026-09-06T02:54:51
setl_43428522,"pay_37229444,pay_26684675,pay_54756482",UTR673112627483,11620.4,2026-09-05T22:26:51
setl_7199169,"pay_22228114,pay_23630310",UTR927586602293,7296.91,2026-09-03T09:17:51
setl_85170677,"pay_34841283,pay_23341699,pay_20171742",UTR499338143158,6185.36,2026-09-04T13:14:51
setl_21005399,"pay_7007172,pay_60294216",UTR770520652739,4523.53,2026-08-31T15:56:51
setl_49424905,"pay_5580224,pay_10208362",UTR926939183310,4993.29,2026-09-01T02:17:51
setl_79745305,"pay_71835359,pay_21886100,pay_38105546",UTR638244832549,10140.54,2026-09-04T23:12:51
setl_25958450,"pay_9416325,pay_77057675",UTR745528514272,6525.71,2026-09-06T10:16:51
setl_84667599,"pay_52056117,pay_59500715",UTR673639866629,4023.94,2026-09-07T02:51:51
setl_97096895,"pay_923401,pay_76371488",UTR344365297881,7245.99,2026-09-03T18:18:51
setl_58342802,"pay_41225319,pay_65746993,pay_19118067,pay_44081519",UTR486742146379,8893.75,2026-08-28T16:46:51
setl_5821036,"pay_13845727,pay_34826599",UTR113432851817,6538.54,2026-09-02T03:12:51
setl_65354092,"pay_24330830,pay_34527907,pay_94391192",UTR613956082939,1021.75,2026-09-06T12:05:51
setl_32746339,"pay_37027626,pay_82920897,pay_41201031,pay_88049220",UTR989113438084,10633.27,2026-09-07T09:46:51
setl_45313630,"pay_23880604,pay_62962575,pay_97382564,pay_41028375",UTR971221237454,10863.09,2026-09-04T15:55:51
setl_38778035,"pay_61073520,pay_48805992,pay_65635941",UTR259888848927,11626.55,2026-09-04T10:36:51
setl_70231077,"pay_99410827,pay_29153697",UTR828993245608,6375.1,2026-08-31T20:37:51
setl_58532511,"pay_22686912,pay_47769444,pay_38555868,pay_19729992",UTR411719733073,5127.9800000000005,2026-09-07T04:38:51
setl_82190980,"pay_95230839,pay_76316198,pay_58246090,pay_97824745",UTR105585921681,10337.68,2026-09-03T12:11:51
setl_5815107,"pay_67194424,pay_15284514,pay_50140008",UTR551061230411,8330.16,2026-08-28T21:28:51
setl_78821648,"pay_53544972,pay_55787792,pay_83599806,pay_49122609",UTR178884589449,10376.75,2026-09-06T09:06:51
setl_33245680,"pay_82932846,pay_1415439",UTR52140707622,4916.389999999999,2026-09-02T05:17:51
setl_52284033,"pay_18410951,pay_45830465,pay_72259541,pay_91955120",UTR880289867586,12244.119999999999,2026-09-06T17:42:51
setl_33838905,"pay_48261805,pay_76912475",UTR950297784112,4017.78,2026-09-04T00:54:51
setl_26287750,"pay_25766232,pay_36280087",UTR771807739294,4581.92,2026-08-30T14:54:51
setl_86783338,"pay_30143859,pay_88967418,pay_76803963,pay_56840274",UTR37145394303,9159.94,2026-09-05T06:29:51
setl_48620636,"pay_67868027,pay_89379458,pay_86192453",UTR808048041410,5776.62,2026-09-01T19:32:51
setl_24818043,"pay_38232863,pay_349424,pay_45107087,pay_86027197",UTR337332810764,10834.54,2026-09-02T22:50:51
setl_11208470,"pay_88282955,pay_39721143,pay_2891770",UTR730932985750,6245.53,2026-09-06T19:16:51
setl_20633493,"pay_22966436,pay_38412925,pay_52577052,pay_58030590",UTR475282095870,9475.05,2026-09-05T17:08:51
setl_71062701,"pay_28523969,pay_51654045,pay_29608210,pay_87109243",UTR945305294674,7958.57,2026-09-05T04:07:51
setl_84280758,"pay_11623034,pay_20694941,pay_17975638",UTR370444553944,7837.110000000001,2026-09-06T14:15:51
setl_64462584,"pay_36390773,pay_68698,pay_58744331",UTR280165213860,13156.5,2026-09-01T14:32:51
setl_22746346,"pay_20596121,pay_55483608,pay_98098163,pay_86501674",UTR799483514202,10726.78,2026-09-06T06:10:51
setl_45597871,"pay_36377010,pay_86768032,pay_25365734,pay_54841742",UTR937825743984,7172.18,2026-09-06T05:42:51
setl_20480590,"pay_95174804,pay_27107043",UTR283734364832,644.25,2026-08-27T00:16:51
setl_75335477,"pay_91346577,pay_14236174,pay_13500348",UTR847513440015,10655.18,2026-09-04T13:31:51
setl_25512162,"pay_59492903,pay_49634923,pay_47477918,pay_7400634",UTR825134595378,15562.77,2026-09-06T19:44:51
setl_60244565,"pay_71949776,pay_1242325,pay_71416328,pay_27298838",UTR154050266960,12349.279999999999,2026-09-06T02:47:51
setl_10651718,"pay_19153084,pay_7327034",UTR490510255775,4373.68,2026-09-05T23:54:51
setl_18068632,"pay_9768520,pay_72501982,pay_69948023,pay_67032674",UTR420086149018,9375.35,2026-09-05T17:47:51
setl_81751257,"pay_4082224,pay_56099032,pay_43226733",UTR670871815766,5597.76,2026-09-04T17:16:51
setl_45960044,"pay_19074635,pay_24971001,pay_8867273,pay_6622603",UTR62641371767,7955.96,2026-09-06T14:55:51
setl_13133354,"pay_65375072,pay_82455097",UTR154224219365,2383.9,2026-09-07T12:23:51
setl_29123097,"pay_70527714,pay_67284092,pay_4127328,pay_20173718",UTR595452292644,14003.57,2026-09-06T10:01:51
setl_84426313,"pay_26945782,pay_4282116,pay_14632824,pay_96305359",UTR855872904301,11446.81,2026-09-06T10:37:51
setl_32767267,"pay_57978541,pay_96626815,pay_6379068,pay_68988484",UTR503951577256,7376.66,2026-09-05T16:52:51
setl_22336853,"pay_46236843,pay_25245554",UTR574909570306,7050.24,2026-09-02T04:58:51
setl_50815052,"pay_40232680,pay_27868199,pay_84011647,pay_3918167",UTR99913571458,5960.21,2026-09-04T13:27:51
setl_36526288,"pay_60900715,pay_50700326",UTR916313207689,3920.54,2026-08-30T01:11:51
setl_7353832,"pay_76492396,pay_97230131,pay_15315995",UTR842527837917,6659.4400000000005,2026-09-02T16:44:51
setl_53193746,"pay_27375255,pay_32534848,pay_92041489",UTR515437842395,3347.99,2026-08-30T14:42:51
setl_66184433,"pay_46574077,pay_57399446",UTR708446040671,6589.34,2026-09-04T02:16:51
setl_56425644,"pay_67886801,pay_41247570,pay_63196756",UTR507268838057,8449.49,2026-08-29T07:58:51
setl_65491447,"pay_91413495,pay_33353391,pay_91098916",UTR19391345897,6376.26,2026-09-03T09:21:51
setl_77003294,"pay_9394732,pay_82251736",UTR169885674883,5483.95,2026-09-05T17:39:51
setl_8619756,"pay_14511543,pay_52921063,pay_91312203,pay_36171436",UTR759863593647,13655.5,2026-09-03T01:04:51
setl_67139716,"pay_71666320,pay_92319986,pay_52543542",UTR742996963341,9668.1,2026-09-03T11:55:51
setl_46192631,"pay_64846338,pay_55480841",UTR178884589449,6550.49,2026-09-05T17:00:51
setl_17184996,"pay_6645346,pay_9879663,pay_41067513",UTR666725315345,11019.39,2026-09-03T03:08:51
setl_11330500,"pay_52978631,pay_77275737,pay_17931038",UTR861725651434,5515.32,2026-09-05T02:51:51
setl_75193640,"pay_43218007,pay_99133484,pay_84467132",UTR302220175282,9398.58,2026-09-04T12:04:51
setl_3726850,"pay_82232592,pay_35641367,pay_46343301",UTR837672181230,10183.29,2026-09-06T02:55:51
setl_62855366,"pay_61453620,pay_63888999,pay_63362314,pay_12217301",UTR164574448841,10441.59,2026-09-02T23:02:51
setl_53296937,"pay_99635742,pay_26570434,pay_9062920,pay_79373369",UTR811044144345,10015.41,2026-09-06T03:25:51
setl_35727013,"pay_28283014,pay_60427580,pay_55875685",UTR689918084355,10680.66,2026-09-06T07:47:51
setl_32703797,"pay_15638821,pay_98915533,pay_21345793",UTR596942383008,4184.43,2026-09-02T06:07:51
setl_63329847,"pay_14642688,pay_98142972,pay_84076643,pay_88559824",UTR364448010793,10228.619999999999,2026-09-04T20:46:51
setl_99747442,"pay_7809342,pay_41196831,pay_24850645",UTR338372978729,10407.54,2026-09-06T14:13:51
setl_29500582,"pay_52788257,pay_77889470,pay_50457476,pay_90410320",UTR543370214338,12207.59,2026-09-07T09:31:51
setl_23082408,"pay_60931063,pay_13685658",UTR418637718410,4071.8700000000003,2026-09-03T15:08:51
setl_20806809,"pay_7532964,pay_13935767,pay_46158739,pay_28079500",UTR5266044339,8779.82,2026-09-04T11:13:51
setl_9498509,"pay_40890097,pay_10401312,pay_37482361,pay_22540508",UTR119777838242,7760.28,2026-09-04T20:05:51
setl_85697436,"pay_94548120,pay_77869927,pay_51907767",UTR125211461501,6672.41,2026-09-05T21:38:51
setl_74452805,"pay_65442947,pay_5471011,pay_93552326,pay_6573440",UTR414361448986,10019.23,2026-09-06T14:06:51
setl_35592936,"pay_94684158,pay_90549768",UTR195113299869,3713.98,2026-09-02T06:08:51
setl_21593345,"pay_10875154,pay_90168976",UTR738993991012,4889.99,2026-09-05T20:28:51
setl_94761955,"pay_13200459,pay_41481448,pay_6160044",UTR831424451472,5826.76,2026-09-06T04:42:51
setl_17524789,"pay_93977267,pay_55772289,pay_49700209,pay_80479824",UTR594105028903,12599.15,2026-09-03T17:29:51
setl_70183442,"pay_86581379,pay_87421989,pay_84416098",UTR103790409466,8235.76,2026-09-01T08:36:51
setl_74302339,"pay_59460870,pay_73781730,pay_97666773,pay_74476886",UTR185717393502,11514.68,2026-09-02T20:30:51
setl_75163157,"pay_59849482,pay_23053502",UTR220676771446,3499.08,2026-09-05T14:44:51
setl_92362659,"pay_57999972,pay_63631235,pay_54240552,pay_84588333",UTR289141588502,7978.9,2026-09-05T22:34:51
setl_23157462,"pay_98119856,pay_97708004",UTR355548663458,5363.79,2026-09-03T11:32:51
setl_45186784,"pay_271805,pay_21704868,pay_9512453,pay_87604103",UTR540170109865,14279.380000000001,2026-09-05T21:59:51
setl_51664113,"pay_98782116,pay_63240643",UTR910022890767,6299.91,2026-09-02T11:02:51
setl_35954032,"pay_78800603,pay_26453409,pay_2032319,pay_7288497",UTR812649507539,12375.16,2026-09-04T00:06:51
setl_11210843,"pay_9291225,pay_54253773",UTR301995036305,6790.74,2026-09-03T22:31:51
setl_87666611,"pay_31126886,pay_43077407",UTR405536048679,2244.24,2026-09-05T00:36:51
setl_3082520,"pay_63471554,pay_88661544",UTR887749496922,7991.71,2026-09-04T08:08:51
setl_61156253,"pay_15063823,pay_42346369,pay_27220045",UTR537331506082,10862.13,2026-09-01T19:24:51
setl_5689009,"pay_89298214,pay_84065705,pay_84631679",UTR902731457328,8755.71,2026-09-06T21:24:51
setl_12058547,"pay_17724683,pay_83624950",UTR835551412794,2000.3500000000001,2026-09-01T05:31:51
setl_88125620,"pay_55138331,pay_9704110,pay_66987241,pay_67259586",UTR317026021696,6069.2,2026-09-02T00:34:51
