utr,amount,credited_at
UTR618564965802,5484.64,2026-08-05T02:06:28
UTR502384185019,1738.3400000000001,2026-08-03T04:32:28
UTR211556527315,15372.46,2026-08-10T20:49:28
UTR640124425842,6907.58,2026-07-31T21:56:28
UTR922200617613,2393.7,2026-08-07T00:37:28
UTR732278778944,7153.9400000000005,2026-08-09T23:37:28
UTR306522233256,11375.54,2026-08-11T18:25:28
UTR673889723065,6005.53,2026-08-05T22:11:28
UTR301409114524,6681.7699999999995,2026-08-10T04:04:28
UTR748168723230,1398.37,2026-08-08T10:48:28
UTR916677176561,6774.6,2026-08-09T00:04:28
UTR259811563980,10560.7,2026-08-11T13:29:28
UTR359991259534,10926.68,2026-08-08T15:30:28
UTR166935199167,1891.04,2026-08-10T13:25:28
UTR581613186081,15028.41,2026-08-09T15:52:28
UTR359578826595,5706.19,2026-08-09T08:07:28
UTR716065585969,2750.81,2026-08-05T20:02:28
UTR799719083615,5920.57,2026-08-09T00:35:28
UTR56004269632,5705.040000000001,2026-08-02T18:50:28
UTR838134437562,6494.77,2026-08-11T05:43:28
UTR673990356884,4388.54,2026-08-13T08:09:28
UTR426832219623,13970.72,2026-08-11T03:17:28
UTR675869455689,4760.51,2026-08-10T15:22:28
UTR700476378741,10458.5,2026-08-10T23:19:28
UTR713120008079,9478.380000000001,2026-08-09T17:05:28
UTR791948964753,6756.44,2026-08-10T13:04:28
UTR442133988835,7567.86,2026-08-12T01:56:28
UTR626015931729,2236.31,2026-08-03T17:34:28
UTR250614294000,2022.58,2026-08-04T12:00:28
UTR52912392112,5734.94,2026-08-06T09:50:28
UTR890141967719,3406.29,2026-08-05T18:13:28
UTR324327202775,8999.98,2026-08-11T04:15:28
UTR865486600560,13446.949999999999,2026-08-04T19:09:28
UTR808267737328,9282.060000000001,2026-08-04T12:46:28
UTR357587718051,10000.380000000001,2026-08-10T00:20:28
UTR772124776315,9169.45,2026-08-07T00:08:28
UTR380588192199,6820.47,2026-08-06T16:52:28
UTR362928802343,5109.79,2026-08-06T07:26:28
UTR730496893939,2758.84,2026-08-05T20:14:28
UTR984371839587,8544.67,2026-08-11T08:53:28
UTR933313300215,3566.25,2026-08-06T22:11:28
UTR318579893909,11659.02,2026-08-10T10:36:28
UTR20365744163,3650.4399999999996,2026-08-10T08:27:28
UTR119242291257,5556.88,2026-08-03T14:06:28
UTR729571865520,6586.59,2026-08-12T01:20:28
UTR334084445062,12469.61,2026-08-10T00:30:28
UTR790918049382,12545.06,2026-08-09T04:42:28
UTR786691124890,16498.45,2026-08-10T21:23:28
UTR903481668491,11150.18,2026-08-06T16:43:28
UTR552446761162,4380.99,2026-08-11T03:02:28
UTR499290529741,4617.73,2026-08-11T21:58:28
UTR718297392317,8124.54,2026-08-08T08:45:28
UTR776437043221,12218.01,2026-08-07T18:14:28
UTR932146431164,13431.27,2026-08-10T02:25:28
UTR884340755062,9956.5,2026-08-11T00:50:28
UTR934830800763,6669.67,2026-08-07T21:42:28
UTR704626614465,6810.450000000001,2026-08-09T02:10:28
UTR45814464380,10297.119999999999,2026-08-11T21:12:28
UTR913279352469,5607.38,2026-08-08T07:05:28
UTR89638317089,4673.24,2026-08-07T08:13:28
UTR338119428041,5098.52,2026-08-10T15:57:28
UTR459451761799,8714.49,2026-08-08T13:12:28
UTR928466604048,7053.2,2026-08-04T09:47:28
UTR211684569457,3474.24,2026-08-11T02:43:28
UTR482007496333,12724.93,2026-08-10T00:46:28
UTR676303676249,5711.639999999999,2026-08-10T14:45:28
UTR158728841472,2990.85,2026-08-05T07:51:28
UTR331123104445,14234.699999999999,2026-08-11T02:35:28
UTR255336920842,14218.1,2026-08-08T23:50:28
UTR168237613767,11922.19,2026-08-11T05:00:28
UTR635526022934,5496.08,2026-08-11T04:55:28
UTR234975953819,4981.12,2026-08-09T02:00:28
UTR671884484764,5965.06,2026-08-07T14:14:28
UTR807507675769,6920.25,2026-08-02T06:08:28
UTR103875202587,13876.86,2026-08-08T10:51:28
UTR28781800601,2667.83,2026-08-07T14:21:28
UTR418205554336,11206.5,2026-08-10T13:04:28
UTR451763786168,7363.889999999999,2026-08-09T09:30:28
UTR846360746624,6076.96,2026-08-14T19:12:28
UTR610508552666,6340.49,2026-08-01T21:11:28
UTR496970884057,6234.91,2026-08-04T01:00:28
UTR253822122960,9769.76,2026-08-08T01:59:28
UTR823680799314,4498.53,2026-08-09T08:40:28
UTR750912195899,11673.05,2026-08-08T12:21:28
UTR124505705448,8815.36,2026-08-11T14:47:28
UTR263984081472,7616.37,2026-08-11T00:32:28
UTR579862576638,4285.13,2026-08-09T09:48:28
UTR627834618355,9064.59,2026-08-05T17:00:28
UTR672131604625,7901.86,2026-08-09T13:53:28
UTR639930942261,11462.8,2026-08-10T18:32:28
UTR925225719033,10076.43,2026-08-14T12:50:28
UTR880517352766,11313.789999999999,2026-08-07T08:09:28
UTR477566278631,10678.71,2026-08-11T17:43:28
UTR907020430707,11838.44,2026-08-10T09:29:28
UTR519048172692,7896.68,2026-08-10T06:21:28
UTR872992003381,7514.01,2026-08-10T04:05:28
